Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Counts
2019-07-25,,,,,,,,,,,9,5,4,3,5,8,15,17,11,7,8,3,3,3,101
2019-07-26,3,,1,,1,7,5,13,21,9,3,5,9,10,9,4,15,17,8,6,4,8,4,,162
2019-07-27,,,,1,,,5,2,4,4,2,5,,5,3,,1,10,6,3,2,1,2,1,57
2019-07-28,1,1,,,1,,,2,2,2,1,2,1,2,5,4,1,8,4,2,4,1,2,2,48
2019-07-29,1,,,1,1,5,7,18,21,7,7,5,6,9,4,6,6,18,11,7,10,2,3,,155
2019-07-30,2,1,,1,,6,6,23,25,10,8,2,8,6,6,6,9,15,7,6,1,3,3,1,155
2019-07-31,1,,,,1,8,4,17,26,12,5,5,7,9,5,2,14,19,6,5,3,4,3,1,157
2019-08-01,3,1,,,,7,8,16,34,4,6,4,2,8,11,4,9,18,10,4,2,4,5,,160
2019-08-02,1,1,,,,3,6,15,20,14,5,6,6,8,6,3,16,17,10,5,3,,3,3,151
2019-08-03,,,2,,1,1,2,3,2,2,3,3,3,5,9,5,3,5,1,1,1,3,5,1,61
2019-08-04,,2,,,2,1,1,2,,4,5,7,7,6,3,,,7,9,8,2,6,4,,76
2019-08-05,,2,1,1,1,5,5,16,28,11,5,1,2,7,4,4,7,18,7,3,3,4,4,1,140
2019-08-06,2,1,,,,7,4,22,31,8,4,7,4,11,6,,14,20,11,8,6,4,2,3,175
2019-08-07,1,,,,,9,4,13,29,14,6,2,1,9,5,7,15,15,6,8,9,4,4,2,163
2019-08-08,,,,,,9,6,19,33,8,4,6,5,7,5,7,16,21,11,7,1,3,1,,169
2019-08-09,,,,,,6,7,9,13,3,,3,5,6,7,6,12,13,5,3,5,1,3,,107
2019-08-10,1,1,,,,2,4,3,1,3,3,5,4,1,3,5,6,8,8,1,6,2,,1,68
2019-08-11,,2,,,,3,5,,,2,4,2,4,3,6,2,4,6,4,4,3,3,1,2,60
2019-08-12,,2,,,,3,5,16,32,19,4,3,4,5,6,3,8,25,3,3,8,3,4,1,157
2019-08-13,1,,2,,,4,6,17,33,15,6,2,4,10,6,8,17,21,13,6,4,2,2,1,180
2019-08-14,2,,,,,8,5,14,30,15,1,7,1,3,3,4,9,23,5,3,1,2,2,,138
2019-08-15,2,,,,,5,6,8,33,12,3,3,2,9,9,6,13,17,12,3,5,3,5,1,157
2019-08-16,1,,,,1,4,9,10,20,7,2,1,5,5,3,2,7,11,6,2,1,4,4,,105
2019-08-17,,,1,,1,,2,1,6,2,4,4,4,5,4,8,4,8,2,3,3,5,1,1,69
2019-08-18,,1,,,,1,2,2,1,3,2,5,3,5,6,6,7,9,4,1,5,2,2,,67
2019-08-19,1,1,,,,6,4,14,30,17,4,5,5,2,7,1,16,13,10,7,2,1,4,,150
2019-08-20,2,,1,1,,5,9,22,28,19,5,3,4,10,7,2,21,23,19,8,1,4,5,,199
2019-08-21,,,,,,4,8,14,29,21,4,4,10,13,10,2,18,22,15,7,7,5,2,1,196
2019-08-22,1,,,,,7,10,18,25,6,4,6,5,10,7,3,13,22,7,8,3,4,6,2,167
2019-08-23,2,,1,,1,5,7,19,23,10,3,6,5,8,7,10,9,21,3,7,5,3,6,1,162
2019-08-24,,1,,,,2,4,4,8,8,4,11,9,11,8,4,4,8,6,8,6,4,1,,111
2019-08-25,3,,1,,1,,2,,,5,4,2,,7,7,3,5,3,6,1,4,,4,1,59
2019-08-26,,1,2,1,1,1,2,2,1,3,3,2,3,6,2,4,6,10,2,5,6,6,3,1,73
2019-08-27,1,1,,,,5,6,19,22,16,3,2,5,9,4,5,16,27,9,2,5,2,1,1,161
2019-08-28,,1,,,,3,11,12,29,14,4,4,6,2,4,4,18,17,7,6,5,3,4,,154
2019-08-29,,,,1,,5,8,18,30,16,6,7,6,9,3,10,14,23,8,8,6,2,4,2,186
2019-08-30,2,,,,,6,9,16,18,19,7,4,7,7,2,8,14,10,6,5,3,3,1,1,148
2019-08-31,,,,,1,,5,2,4,6,3,5,6,4,1,4,3,4,6,2,6,1,1,,64
2019-09-01,1,,,1,,,1,3,5,5,5,,9,16,17,9,7,2,3,5,4,,1,1,95
2019-09-02,1,1,1,,,5,4,11,19,13,7,6,5,6,8,2,21,16,13,7,4,4,6,2,162
2019-09-03,1,,,,1,4,5,18,29,12,4,4,6,4,9,6,12,22,9,4,7,2,1,5,165
2019-09-04,1,1,,,1,3,6,15,29,11,2,3,5,6,7,8,16,12,9,5,4,5,1,3,153
2019-09-05,2,1,,,2,4,6,21,27,8,4,1,10,7,8,5,17,20,8,6,4,2,4,4,171
2019-09-06,2,,,,1,1,5,18,26,7,3,3,4,7,6,10,9,17,5,8,5,2,3,1,143
2019-09-07,2,,,,2,2,2,2,4,7,6,5,4,6,7,5,4,9,4,6,3,4,1,1,86
2019-09-08,,1,,,,2,1,1,,,4,6,1,6,7,11,5,3,4,4,5,1,3,1,66
2019-09-09,,1,,,1,4,4,13,32,15,4,3,4,2,6,5,15,10,8,3,3,2,3,,138
2019-09-10,1,1,,,1,2,2,24,40,18,5,5,6,10,7,6,16,20,8,6,4,4,3,,189
2019-09-11,1,1,1,,1,3,5,15,28,18,6,3,2,8,6,8,22,14,10,8,7,3,4,,174
2019-09-12,2,1,,1,1,2,4,12,27,14,7,2,4,11,7,3,19,18,7,8,3,4,1,2,160
2019-09-13,,,,,,4,2,7,29,10,4,5,5,10,6,3,19,7,8,4,5,3,3,3,137
2019-09-14,,1,,,,1,5,4,8,2,11,4,5,5,3,5,4,4,5,2,5,2,2,1,79
2019-09-15,1,2,,,,1,3,2,3,1,4,5,6,8,2,8,2,3,2,5,4,2,2,,66
2019-09-16,2,,1,,1,3,6,12,30,13,5,4,2,7,6,5,20,9,11,8,3,3,3,2,156
2019-09-17,2,,,,,5,6,19,42,17,3,3,7,5,8,6,20,19,10,5,,2,2,,181
2019-09-18,2,,1,,,5,8,17,29,20,6,5,7,4,9,9,21,12,13,6,9,5,4,1,193
2019-09-19,2,,,,,6,6,20,38,10,5,8,6,5,7,5,12,21,13,11,4,5,1,1,186
2019-09-20,1,,,,,6,5,9,21,12,3,9,9,14,19,9,13,14,7,2,4,2,1,2,162
2019-09-21,2,,,,,1,6,1,6,3,1,3,4,5,9,5,12,9,10,6,2,3,4,,92
2019-09-22,1,1,,,,2,1,1,2,3,2,,5,2,4,3,3,5,3,4,3,4,2,,51
2019-09-23,1,,,,,4,6,19,34,13,7,4,12,6,10,7,20,11,18,2,4,5,1,2,186
2019-09-24,,,1,,2,4,6,24,23,14,2,4,3,3,3,6,7,12,11,3,,2,1,,131
2019-09-25,3,,,,1,3,6,16,39,18,11,3,5,15,6,6,22,18,12,10,5,5,5,,209
2019-09-26,1,,,,,5,5,8,23,20,9,1,3,13,6,11,13,21,8,12,3,6,3,,171
2019-09-27,,1,,,1,4,5,9,22,13,7,3,6,8,8,3,12,10,11,8,3,4,3,3,144
2019-09-28,,,,,1,2,3,1,4,1,4,3,6,8,3,10,7,9,9,10,10,2,,,93
2019-09-29,1,,,,1,,2,3,1,1,,6,3,1,3,,4,5,2,4,2,4,2,,45
2019-09-30,,,,,1,3,4,17,26,14,9,7,8,9,7,8,21,16,8,1,4,,3,2,168
2019-10-01,2,,,,,3,8,13,22,14,3,2,5,2,8,8,18,12,12,4,6,7,1,2,152
2019-10-02,1,,1,,1,4,6,17,31,16,12,9,8,8,16,10,23,21,19,4,4,5,3,1,220
2019-10-03,1,,,,1,4,6,14,36,14,11,7,8,4,10,10,19,13,11,5,4,2,3,,183
2019-10-04,,,,,,5,4,7,19,5,5,2,3,5,12,7,10,9,6,6,4,5,3,,117
2019-10-05,1,1,1,1,1,1,5,4,6,2,4,2,6,4,4,3,6,7,3,5,7,6,1,,81
